Keyword,N,FA,FR,Precision,Recall,F1-score
NINETEEN,13,0,4,0.692,1.0,0.818
EIGHTY,15,0,5,0.667,1.0,0.8
THEIR,9,0,4,0.556,1.0,0.715
MIGHT,6,0,0,1.0,1.0,1.0
OTHER,6,0,0,1.0,1.0,1.0
WOULD,6,0,2,0.667,1.0,0.8
DECLINED,5,0,4,0.2,1.0,0.333
EIGHT,11,1,2,0.818,0.9,0.857
ABOUT,12,0,6,0.5,1.0,0.667
GROUP,7,0,0,1.0,1.0,1.0
QUALITY,6,0,2,0.667,1.0,0.8
POINT,19,0,5,0.737,1.0,0.849
TRADING,6,0,1,0.833,1.0,0.909
STATION,6,0,0,1.0,1.0,1.0
MONTH,13,0,8,0.385,1.0,0.556
PRICE,10,0,0,1.0,1.0,1.0
THREE,16,0,2,0.875,1.0,0.933
DECLINE,12,0,8,0.333,1.0,0.5
FIRST,7,0,2,0.714,1.0,0.833
INDEX,9,0,2,0.778,1.0,0.875
FIFTY,16,0,13,0.188,1.0,0.316
SEOUL,6,2,0,1.0,0.75,0.857
SEVEN,14,0,2,0.857,1.0,0.923
COMPANY,12,0,2,0.833,1.0,0.909
PURCHASING,7,0,2,0.714,1.0,0.833
COULD,6,0,1,0.833,1.0,0.909
AFTER,5,0,1,0.8,1.0,0.889
THERE,6,0,1,0.833,1.0,0.909
PERCENT,36,0,4,0.889,1.0,0.941
Precsion,Recall,F1-score
0.7368637991369389,0.9879310344827585,0.8441242994988736
