Keyword,N,FA,FR,Precision,Recall,F1-score
NINETEEN,13,0,2,0.846,1.0,0.917
EIGHTY,15,0,1,0.933,1.0,0.965
THEIR,9,1,4,0.556,0.833,0.667
MIGHT,6,0,0,1.0,1.0,1.0
OTHER,6,0,1,0.833,1.0,0.909
WOULD,6,2,1,0.833,0.714,0.769
DECLINED,5,2,2,0.6,0.6,0.6
EIGHT,11,8,1,0.909,0.556,0.69
ABOUT,12,0,3,0.75,1.0,0.857
GROUP,7,0,0,1.0,1.0,1.0
QUALITY,6,0,0,1.0,1.0,1.0
POINT,19,0,4,0.789,1.0,0.882
TRADING,6,0,0,1.0,1.0,1.0
STATION,6,0,0,1.0,1.0,1.0
MONTH,13,0,0,1.0,1.0,1.0
PRICE,10,0,0,1.0,1.0,1.0
THREE,16,1,0,1.0,0.941,0.97
DECLINE,12,0,0,1.0,1.0,1.0
FIRST,7,0,1,0.857,1.0,0.923
INDEX,9,0,0,1.0,1.0,1.0
FIFTY,16,0,9,0.438,1.0,0.609
SEOUL,6,1,1,0.833,0.833,0.833
SEVEN,14,0,0,1.0,1.0,1.0
COMPANY,12,0,1,0.917,1.0,0.957
PURCHASING,7,0,1,0.857,1.0,0.923
COULD,6,0,0,1.0,1.0,1.0
AFTER,5,0,0,1.0,1.0,1.0
THERE,6,1,0,1.0,0.857,0.923
PERCENT,36,0,3,0.917,1.0,0.957
Precsion,Recall,F1-score
0.8920250474470075,0.9425802504910009,0.9166060880908437
