Keyword,N,FA,FR,Precision,Recall,F1-score
NINETEEN,13,0,2,0.846,1.0,0.917
EIGHTY,15,0,1,0.933,1.0,0.965
THEIR,9,2,2,0.778,0.778,0.778
MIGHT,6,0,1,0.833,1.0,0.909
OTHER,6,1,1,0.833,0.833,0.833
WOULD,6,3,1,0.833,0.625,0.714
DECLINED,5,1,0,1.0,0.833,0.909
EIGHT,11,11,0,1.0,0.5,0.667
ABOUT,12,0,2,0.833,1.0,0.909
GROUP,7,0,0,1.0,1.0,1.0
QUALITY,6,0,0,1.0,1.0,1.0
POINT,19,0,3,0.842,1.0,0.914
TRADING,6,0,0,1.0,1.0,1.0
STATION,6,0,0,1.0,1.0,1.0
MONTH,13,0,5,0.615,1.0,0.762
PRICE,10,0,0,1.0,1.0,1.0
THREE,16,0,0,1.0,1.0,1.0
DECLINE,12,0,2,0.833,1.0,0.909
FIRST,7,0,2,0.714,1.0,0.833
INDEX,9,0,0,1.0,1.0,1.0
FIFTY,16,0,9,0.438,1.0,0.609
SEOUL,6,1,1,0.833,0.833,0.833
SEVEN,14,0,1,0.929,1.0,0.963
COMPANY,12,0,1,0.917,1.0,0.957
PURCHASING,7,0,1,0.857,1.0,0.923
COULD,6,0,0,1.0,1.0,1.0
AFTER,5,0,0,1.0,1.0,1.0
THERE,6,2,0,1.0,0.75,0.857
PERCENT,36,0,3,0.917,1.0,0.957
Precsion,Recall,F1-score
0.8891582127289932,0.936302681992337,0.9121216693286214
